0,1,2,3
Osu! Tatakae! Ouendan,8.7,2005,iNiS corporation
Castlevania: Dawn of Sorrow,8.7,2005,"Konami Computer Entertainment Tokyo, Inc."
Hi-Fi Rush,8.7,2023,Tango Gameworks
Super Mario 3D Land,8.7,2011,Nintendo EAD
Dave the Diver,8.7,2022,MINTROCKET
Super Mario All-Stars,8.7,1993,"Nintendo Co., Ltd."
LittleBigPlanet 2,8.7,2011,Media Molecule Ltd.
Ratchet & Clank Future: Tools of Destruction,8.7,2007,"Insomniac Games, Inc."
Sekiro: Shadows Die Twice,8.7,2019,"FromSoftware, Inc."
Metroid Dread,8.7,2021,Mercury Steam Entertainment S.L.
Forza Motorsport 3,8.7,2009,Turn 10 Studios
Ori and the Will of the Wisps,8.7,2020,Moon Studios GmbH
God of War,8.7,2005,SCE Studio Santa Monica
Batman: Arkham City - Game of the Year Edition,8.7,2012,Rocksteady Studios Ltd
Street Fighter IV,8.7,2008,"Capcom Co., Ltd."
Silent Hill 2,8.7,2001,Team Silent
NFL 2K1,8.7,2000,"Visual Concepts Entertainment, Inc."
Rock Band 3,8.7,2010,"Harmonix Music Systems, Inc."
NCAA Football 2004,8.7,2003,EA Tiburon
Yoshi's Island: Super Mario Advance 3,8.7,2002,Nintendo R&D2
Sid Meier's Civilization IV,8.7,2005,"Firaxis Games, Inc."
Super Mario Bros. 3,8.7,1988,"Nintendo Co., Ltd."
The Last of Us: Part II,8.7,2020,"Naughty Dog, Inc."
Ratchet & Clank: Rift Apart,8.7,2021,"Insomniac Games, Inc."
The Legend of Zelda: Ocarina of Time,8.7,1998,Nintendo EAD
Metal Gear Solid 3: Snake Eater,8.7,2004,"Konami Computer Entertainment Japan, Inc."
Persona 3: Reload,8.7,2024,"Atlus Co., Ltd."
Super Street Fighter IV,8.7,2010,"Capcom Co., Ltd."
Mario Kart DS,8.7,2005,Nintendo EAD
Half-Life,8.7,1998,Valve L.L.C.
Chained Echoes,8.7,2022,
Advance Wars: Dual Strike,8.7,2005,"Intelligent Systems Co., Ltd."
